iter	Passed	Remaining
183	7001	12025
184	7038	11983
185	7074	11942
186	7114	11908
187	7151	11868
188	7188	11828
189	7226	11790
190	7262	11749
191	7298	11707
192	7337	11671
193	7374	11631
194	7409	11589
195	7446	11550
196	7482	11508
197	7521	11471
198	7561	11437
199	7596	11395
200	7635	11357
201	7673	11319
202	7708	11278
203	7747	11241
204	7783	11200
205	7820	11160
206	7859	11124
207	7941	11149
208	7984	11116
209	8020	11075
210	8062	11042
211	8098	11002
212	8136	10962
213	8171	10921
214	8210	10883
215	8245	10840
216	8282	10801
217	8319	10761
218	8355	10721
219	8391	10680
220	8428	10640
221	8463	10598
222	8524	10588
223	8560	10547
224	8596	10506
225	8633	10467
226	8673	10430
227	8714	10396
228	8756	10362
229	8796	10326
230	8833	10286
231	8871	10247
232	8924	10227
233	8973	10200
234	9010	10160
235	9048	10121
236	9087	10084
237	9124	10044
238	9160	10004
239	9199	9966
240	9237	9926
241	9273	9886
242	9312	9849
243	9360	9821
244	9397	9781
245	9433	9740
246	9471	9701
247	9509	9662
248	9544	9621
249	9581	9581
250	9619	9542
251	9655	9502
252	9694	9464
253	9734	9428
254	9771	9388
255	9809	9349
256	9847	9311
257	9882	9269
258	9921	9231
259	9956	9190
260	9991	9149
261	10030	9111
262	10139	9136
263	10184	9104
264	10229	9071
265	10270	9034
266	10308	8995
267	10347	8957
268	10383	8916
269	10420	8876
270	10459	8838
271	10495	8797
272	10531	8757
273	10570	8718
274	10610	8681
275	10658	8650
276	10702	8616
277	10745	8581
278	10787	8544
279	10827	8507
280	10876	8476
281	10916	8439
282	10957	8402
283	10996	8363
284	11034	8324
285	11072	8285
286	11141	8268
287	11179	8229
288	11216	8189
289	11255	8150
290	11300	8116
291	11347	8082
292	11393	8049
293	11433	8011
294	11471	7971
295	11516	7937
296	11567	7906
297	11610	7870
298	11655	7835
299	11701	7801
300	11743	7764
301	11783	7725
302	11824	7687
303	11863	7649
304	11909	7614
305	11948	7575
306	11987	7535
307	12027	7497
308	12066	7458
309	12107	7420
310	12145	7380
311	12181	7340
312	12243	7314
313	12316	7295
314	12357	7257
315	12397	7219
316	12443	7183
317	12485	7145
318	12531	7110
319	12577	7074
320	12620	7037
321	12661	6999
322	12704	6961
323	12741	6921
324	12779	6881
325	12817	6841
326	12853	6800
327	12894	6761
328	12930	6720
329	12963	6678
330	13001	6638
331	13036	6596
332	13078	6559
333	13119	6520
334	13163	6483
335	13213	6449
336	13252	6410
337	13328	6388
338	13366	6348
339	13406	6308
340	13445	6269
341	13486	6230
342	13523	6189
343	13560	6149
344	13595	6108
345	13644	6073
346	13679	6031
347	13715	5990
348	13755	5951
349	13791	5910
350	13826	5869
351	13864	5829
352	13900	5788
353	13936	5747
354	13973	5707
355	14009	5666
356	14045	5626
357	14084	5586
358	14120	5545
359	14156	5505
360	14204	5469
361	14239	5428
362	14276	5387
363	14313	5347
364	14350	5307
365	14386	5267
366	14493	5252
367	14530	5212
368	14570	5172
369	14606	5131
370	14643	5091
371	14680	5051
372	14716	5010
373	14751	4969
374	14788	4929
375	14822	4888
376	14859	4847
377	14902	4809
378	14938	4769
379	14974	4728
380	15011	4688
381	15047	4648
382	15086	4608
383	15122	4568
384	15157	4527
385	15193	4487
386	15233	4448
387	15272	4408
388	15309	4368
389	15345	4328
390	15383	4288
391	15419	4248
392	15455	4208
393	15522	4176
394	15558	4135
395	15593	4095
396	15632	4055
397	15670	4015
398	15705	3975
399	15741	3935
400	15777	3895
401	15814	3855
402	15851	3815
403	15890	3775
404	15926	3735
405	15962	3695
406	15998	3655
407	16036	3616
408	16072	3576
409	16110	3536
410	16148	3496
411	16184	3456
412	16219	3416
413	16255	3376
414	16295	3337
415	16332	3297
416	16371	3258
417	16407	3218
418	16445	3179
419	16481	3139
420	16517	3099
421	16555	3060
422	16651	3031
423	16699	2993
424	16735	2953
425	16778	2914
426	16818	2875
427	16853	2835
428	16892	2795
429	16928	2755
430	16965	2716
431	17003	2676
432	17039	2636
433	17075	2596
434	17110	2556
435	17145	2516
436	17182	2477
437	17217	2437
438	17252	2397
439	17288	2357
440	17322	2317
441	17356	2277
442	17396	2238
443	17434	2198
444	17471	2159
445	17508	2119
446	17544	2080
447	17579	2040
448	17616	2001
449	17685	1965
450	17720	1925
451	17755	1885
452	17790	1845
453	17828	1806
454	17865	1766
455	17905	1727
456	17941	1688
457	17975	1648
458	18012	1608
459	18047	1569
460	18083	1529
461	18121	1490
462	18156	1450
463	18209	1412
464	18244	1373
465	18279	1333
466	18315	1294
467	18350	1254
468	18387	1215
469	18424	1176
470	18461	1136
471	18497	1097
472	18537	1058
473	18574	1018
474	18610	979
475	18647	940
476	18683	900
477	18718	861
478	18755	822
479	18813	783
480	18886	746
481	18926	706
482	18964	667
483	18999	628
484	19036	588
485	19073	549
486	19108	510
487	19142	470
488	19178	431
489	19212	392
490	19246	352
491	19281	313
492	19316	274
493	19351	235
494	19388	195
495	19422	156
496	19456	117
497	19494	78
498	19529	39
499	19565	0
